Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Prediction
54415,17,1718887636.04582,0.0749104022979736,0,153,0,196550,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0468202,0.0759105682373046,0,154,0,197842,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0468202,0.0759105682373046,0,155,0,199134,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0468202,0.0759105682373046,0,156,0,200426,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0478208,0.0769112110137939,0,157,0,201718,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0478208,0.0769112110137939,0,158,0,203010,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0478208,0.0769112110137939,0,159,0,204302,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0478208,0.0769112110137939,0,160,0,205594,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0488226,0.0779130458831787,0,161,0,206886,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0488226,0.0779130458831787,0,162,0,208178,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0488226,0.0864787101745605,0,14,0,3655,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0488226,0.0864787101745605,0,15,0,3730,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0488226,0.0864787101745605,0,16,0,3805,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0488226,0.0864787101745605,0,17,0,3880,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.050331,0.0879871845245361,0,18,0,3955,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.050331,0.0879871845245361,0,19,0,4030,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.050331,0.0879871845245361,0,20,0,4105,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0513391,0.0804295539855957,0,163,0,209470,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
